logM, logSFR
10.29445, 0.7638757
10.45225, -1.192845
10.87718, 0.5500002
10.146, 0.02831643
10.29463, 0.05283197
10.20529, 0.7112947
11.0121, 1.028964
10.557, 0.9284316
10.82996, 0.3420782
10.14159, 0.0836117
10.5481, -1.211356
10.02492, 0.624361
10.16385, 0.7239456
10.0253, 0.4164352
10.74538, 0.4213462
10.33225, 0.886094
10.43333, 0.5363202
10.43894, 0.7463649
10.82425, -0.3655545
10.97327, 0.5787233
10.6932, 1.11868
11.10141, -0.2422299
10.43296, -0.02474697
10.01408, 0.4906055
10.40308, 0.3061463
10.01271, -0.1049063
10.12492, 0.4462135
10.10887, 0.6817319
10.07534, 0.5565705
11.2395, 1.11045
10.77296, -0.4422061
10.05231, 0.5958608
11.25807, 0.5243826
10.55686, 1.210373
10.49384, 0.5420881
10.05106, 0.2896214
10.68878, 1.271006
10.29364, 0.5871785
10.26558, 0.1490557
10.09125, -0.03085328
10.09999, 0.8734397
10.5176, 1.160343
10.0828, 0.6768231
10.48925, 0.9270524
10.01676, 0.4583545
10.16135, 0.4268484
10.94206, 0.3605318
10.84032, 0.9216807
10.16455, 0.08268042
10.47861, 1.046458
10.15911, 0.581457
10.13324, 0.9475473
10.19984, 0.7223476
11.18866, 0.8465206
10.59722, 0.5180095
10.22592, 0.6322519
10.30265, 0.6405083
10.35882, 0.3785337
10.74336, 1.026341
10.16181, 0.4580591
10.57745, 1.346132
10.2653, 0.7585325
10.34352, 0.905139
10.23346, 1.040278
10.33891, -0.0791778
10.23653, 0.8418765
10.72124, 1.268855
10.19933, 0.3368421
10.05493, 0.5046408
10.24904, 1.250457
10.56845, -0.1163397
10.24726, 0.8798108
10.51085, 1.079048
10.12148, 0.5636127
10.10035, 0.5630726
10.16488, 0.7601215
10.81199, -0.8072788
10.5063, -0.5167003
10.15613, 0.9696888
10.08313, 0.6865703
10.18679, 0.4859138
10.96127, 0.4705725
10.09104, 0.4583197
10.19412, 0.6581969
10.09886, 0.7390537
10.19924, 0.7194141
10.41135, 0.7312815
10.17991, 0.5977727
10.014, 0.2546483
10.4009, 0.8478035
10.91345, -0.834029
10.09044, 0.5976868
10.04652, 0.2932967
10.40266, 0.6504441
10.50086, 0.5100912
10.38409, -0.242043
10.25434, 0.7198989
10.07908, 0.8602732
10.26575, 1.091423
10.18996, 0.6541668
10.15506, 0.4537396
10.14218, 0.6494828
10.04086, 0.4925635
10.19975, 0.6709229
11.23399, 0.8827931
10.5278, 1.284499
10.84666, 0.9830436
11.07772, 0.6620545
10.22103, 0.6737815
10.63104, 0.6351064
10.08265, 0.5220555
10.26584, 0.6407726
10.30582, 0.4928943
10.32075, 0.1304775
10.08489, 0.3580708
10.42478, 0.5933139
10.69078, 1.195898
10.72223, 1.182749
10.96165, 1.513802
10.02651, 0.3102501
10.22661, 1.049045
10.03063, 0.4921655
10.21538, 0.09094024
10.15827, 0.4893819
10.08574, -0.9335259
10.06906, 0.640258
10.07467, 0.02764238
10.89445, 0.3569212
10.68067, 0.5068324
10.69525, 1.407353
